dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
113,6239,WBGene00000001,aap-1,NE,,WormBase
113,6239,WBGene00000002,aat-1,NE,,WormBase
113,6239,WBGene00000003,aat-2,NE,,WormBase
113,6239,WBGene00000004,aat-3,NE,,WormBase
113,6239,WBGene00000005,aat-4,NE,,WormBase
113,6239,WBGene00000006,aat-5,NE,,WormBase
113,6239,WBGene00000007,aat-6,NE,,WormBase
113,6239,WBGene00000008,aat-7,NE,,WormBase
113,6239,WBGene00000009,aat-8,NE,,WormBase
113,6239,WBGene00000010,aat-9,NE,,WormBase
113,6239,WBGene00000012,abf-1,NE,,WormBase
113,6239,WBGene00000013,abf-2,NE,,WormBase
113,6239,WBGene00000014,abf-3,NE,,WormBase
113,6239,WBGene00000015,abf-4,NE,,WormBase
113,6239,WBGene00000016,abf-5,NE,,WormBase
113,6239,WBGene00000017,abf-6,NE,,WormBase
113,6239,WBGene00000018,abl-1,NE,,WormBase
113,6239,WBGene00000019,abt-1,NE,,WormBase
113,6239,WBGene00000020,abt-2,NE,,WormBase
113,6239,WBGene00000021,abt-3,NE,,WormBase
113,6239,WBGene00000022,abt-4,NE,,WormBase
113,6239,WBGene00000023,abt-5,NE,,WormBase
113,6239,WBGene00000025,abu-2,NE,,WormBase
113,6239,WBGene00000026,abu-3,NE,,WormBase
113,6239,WBGene00000027,abu-4,NE,,WormBase
113,6239,WBGene00000028,abu-5,NE,,WormBase
113,6239,WBGene00000029,abu-6,NE,,WormBase
113,6239,WBGene00000030,abu-7,NE,,WormBase
113,6239,WBGene00000031,abu-8,NE,,WormBase
113,6239,WBGene00000032,abu-9,NE,,WormBase
113,6239,WBGene00000033,abu-10,NE,,WormBase
113,6239,WBGene00000034,abu-11,NE,,WormBase
113,6239,WBGene00000035,ace-1,NE,,WormBase
113,6239,WBGene00000036,ace-2,NE,,WormBase
113,6239,WBGene00000037,ace-3,NE,,WormBase
113,6239,WBGene00000038,ace-4,NE,,WormBase
113,6239,WBGene00000040,aco-1,NE,,WormBase
113,6239,WBGene00000042,acr-2,NE,,WormBase
113,6239,WBGene00000043,acr-3,NE,,WormBase
113,6239,WBGene00000044,acr-5,NE,,WormBase
113,6239,WBGene00000046,acr-7,NE,,WormBase
113,6239,WBGene00000047,acr-8,NE,,WormBase
113,6239,WBGene00000049,acr-10,NE,,WormBase
113,6239,WBGene00000050,acr-11,NE,,WormBase
113,6239,WBGene00000051,acr-12,NE,,WormBase
113,6239,WBGene00000053,acr-14,NE,,WormBase
113,6239,WBGene00000054,acr-15,NE,,WormBase
113,6239,WBGene00000056,acr-17,NE,,WormBase
113,6239,WBGene00000057,acr-18,NE,,WormBase
113,6239,WBGene00000058,acr-19,NE,,WormBase
113,6239,WBGene00000059,acr-20,NE,,WormBase
113,6239,WBGene00000060,acr-21,NE,,WormBase
113,6239,WBGene00000061,lgc-11,NE,,WormBase
113,6239,WBGene00000070,acy-3,NE,,WormBase
113,6239,WBGene00000072,add-1,NE,,WormBase
113,6239,WBGene00000073,add-2,NE,,WormBase
113,6239,WBGene00000074,adm-2,NE,,WormBase
113,6239,WBGene00000075,adm-4,NE,,WormBase
113,6239,WBGene00000079,adr-1,NE,,WormBase
113,6239,WBGene00000082,adt-1,NE,,WormBase
113,6239,WBGene00000084,aex-1,NE,,WormBase
113,6239,WBGene00000085,aex-2,NE,,WormBase
113,6239,WBGene00000086,aex-3,NE,,WormBase
113,6239,WBGene00000089,aex-6,NE,,WormBase
113,6239,WBGene00000093,agt-1,NE,,WormBase
113,6239,WBGene00000096,ahr-1,NE,,WormBase
113,6239,WBGene00000097,aip-1,NE,,WormBase
113,6239,WBGene00000101,aka-1,NE,,WormBase
113,6239,WBGene00000103,akt-2,NE,,WormBase
113,6239,WBGene00000108,alh-2,NE,,WormBase
113,6239,WBGene00000109,alh-3,NE,,WormBase
