gene_id	ERR279692	ERR279673	ERR279674	ERR279675	ERR279676	ERR279677	ERR279678	ERR279679	ERR279680	ERR279681	ERR279682	ERR279683	ERR279685	ERR279684	ERR279686	ERR279687	ERR279688	ERR279689	ERR279690	ERR279691
WBGene00284906	23.79	10.33	13.67	14.19	19.61	19.49	14.81	23.24	15.83	7.59	9.22	4.15	5.92	6.52	9.27	14.53	9.09	13.6	18.23	18.18
WBGene00284908	0.69	0.33	0.55	0.75	8.42	13.34	9.28	0.71	0.87	10.44	12.15	0.49	0.41	0.56	15.7	22.14	13.78	1.1	1.18	1.27
WBGene00284909	28.21	21.27	28.7	26.18	28.87	32.74	24.27	40.42	28.65	7.43	8.23	28.75	22.35	22.12	7.34	12.96	8.77	19.42	34.79	29.79
WBGene00284910	37.11	19.42	23.96	20.42	36.74	39.4	37.32	68.32	43.15	10.78	13.61	5.29	5.59	7.42	14.06	17.88	13.07	29.99	40.35	38.64
WBGene00284911	184.84	73.27	89.76	78.3	52.87	58.93	44.96	56.1	40.61	17.68	17.59	37.91	34.34	40.16	20.34	27.91	20.35	36.92	43.48	43.3
WBGene00284912	62.29	32.41	50.52	42.19	53.66	64.4	44.95	78.85	56.54	16.48	21.47	12.83	13.92	16.46	18.12	28.37	16.88	43.91	52.56	58.78
WBGene00284914	0	0	0	0	0.32	0	0.34	0.19	0.11	0.46	0	0.58	0	0	0.1	0	0	0	0.5	0
WBGene00284915	78.44	32.38	34.35	31.17	23.54	32.29	23.47	22.88	15.74	11.77	14.22	11.25	9.92	11.84	15.51	26.16	15.27	13.21	17.97	21.72
WBGene00284916	51.02	25.14	36.63	31.39	104.05	103.45	88.3	249.46	163.99	16.2	18.28	5.96	6.35	7.04	16.39	27.51	16.44	86.38	123.17	147.64
WBGene00284918	39.43	13.02	18.27	18.65	24.02	25.31	19.46	27	15.66	11.86	15.41	5.34	4.75	6.93	11.49	18.83	15.15	16.57	24.31	22.73
WBGene00284919	336.41	127.46	157.35	110.14	131.44	170.54	142.39	122.63	89.15	85.37	120.92	87.86	100.39	108.76	109.7	187.62	120.65	86	106.59	119.68
WBGene00284920	60.75	21.72	24.75	20.78	28.42	34.84	28.43	36.25	21.03	27.62	33.44	18.28	21.74	24.42	39.19	61.46	40.39	31.76	35.03	37.96
WBGene00284921	153.41	87.26	106.29	104.78	233.87	265.27	203.06	487.18	372.46	42.98	50.13	20.75	22.66	28.63	37.15	65.62	46.91	172.48	233.8	270.91
WBGene00284922	1.59	0.56	0	0.51	0.75	0.62	0.18	0.3	0.88	0	0.33	1.23	0	0	0.33	0.51	0.33	1.79	0	0.25
WBGene00284923	0.71	0.72	0.8	0.81	112.53	121.95	109.41	385.25	253.71	0.88	1.17	0.2	0.3	0.3	1.2	1.52	1.48	85.96	126.46	156.48
WBGene00284924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00284925	33.19	19.02	20.37	20.51	17.61	21.84	16.99	27.15	18.23	7.47	11.1	4.38	4.79	6.77	8.94	12.57	7.87	13.17	18.45	18.82
WBGene00284926	80.93	77.12	98.09	78.92	42.79	67.33	51.76	56.16	52.44	21.19	32.41	29.53	27.92	33.08	24.14	38.16	27.11	43.94	62.93	70.58
WBGene00284927	321.37	190.31	184.92	192.92	80.12	102.41	122.89	102.93	80.29	34.02	81.51	54.44	65.51	95.53	96.18	133.37	100.48	129.49	149.3	176.39
WBGene00284928	54.61	20.78	26.65	26.23	50.63	64.03	45.38	97.25	69.24	17.93	21.26	11.56	13.17	12.26	25.7	35.26	25.19	52.24	70.7	65.56
WBGene00284929	305.53	505.9	609.52	675.15	93.07	190.48	202.11	115.38	92.41	70.78	161.78	126.08	134.39	127.99	73.9	220.82	104.02	113.84	171.6	239.36
WBGene00284930	43.5	33.71	39.37	36.68	31.15	38.11	34.38	43.95	26.98	18.4	25.63	13.36	14.44	19.24	19.33	27.48	17.22	18.48	24.61	26.92
WBGene00284931	46.32	28.72	33.24	26.84	26.89	34.79	24.77	31.4	20.18	10.1	12.08	21.7	24.18	24.84	10.2	17.69	11.47	13.63	15.02	19.42
WBGene00284932	40.31	28.49	45.62	32.73	48.66	62.84	35.57	66.58	57.44	15.92	20.44	13.7	11.98	11	20.78	28.22	21.66	37.18	54.95	52.56
WBGene00284933	0.52	0	0.41	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0.41
WBGene00284934	209.01	130.17	190.41	153.25	133.94	168.13	118.87	148.05	121.19	83.98	129.26	28.17	26.71	32.27	74.93	128.39	81.95	76.79	99.59	105.86
WBGene00284935	14.74	5.06	6.31	9.81	9.15	11.31	6.3	15.64	10.51	5.8	5.65	2.97	3.36	4.84	12.31	6.93	8.16	9.05	7.67	11.5
WBGene00284936	70.91	26.3	28.68	20.08	6.66	8.87	8.27	7.55	4.99	2.4	3.84	4.45	6.35	8.63	2.65	4.33	2.04	4.08	5.75	4.02
WBGene00284937	17.98	3.91	4.62	6.86	17.41	17.31	14.09	40.72	25.4	4.63	5.39	2.55	2.68	3.72	7.89	10.25	7.2	19.85	26.96	26.18
WBGene00284938	140.95	70.31	103.54	84.77	63.08	71.37	54.26	89.52	51.58	37.7	41.48	25.02	26.93	29.23	47.98	55.79	45.51	55.25	62.25	62.66
WBGene00284939	39.34	22.09	26.74	26.45	34.81	42.59	37.49	55.98	39.48	12.16	21.89	4.67	8.7	11.55	18.57	28.56	17.99	31.16	37.36	41.82
WBGene00284940	56.73	35.85	40.98	33.04	38.31	43.24	32.91	49.74	33.01	20.89	27.89	13.34	13.86	15.74	24.66	30.77	27.87	29.5	40.1	37.52
WBGene00284941	8.23	7.79	10.45	9.46	8.12	10.52	9.24	10.35	11.29	1.74	4.08	1.45	1.24	1.72	4.1	6.44	3.76	6.48	10.28	11.39
WBGene00284942	2.16	2.29	2.13	3.16	3.99	5.05	3.69	5.09	3.11	1.52	3.22	0.81	0.86	0.89	1.82	3.24	1.71	1.43	3.07	2.99
WBGene00284943	32.02	20.92	27.7	28.87	42.67	51.03	40.3	38.02	27.18	24.12	31.89	15.12	13.36	13.82	31.86	46.92	28.98	25.32	32.76	30.28
WBGene00284944	35.83	6.93	12.14	7.35	2.01	6.45	5.25	0.48	0.85	0.58	0.79	0	1.02	1.51	0.53	1.65	1.57	1.08	1.6	0.8
WBGene00284945	0.64	0.38	0	0	0.75	0.93	1.09	0.6	0.53	0	0	0	0.48	1.58	0	0.26	0.16	0	0.2	0.25
WBGene00284948	3.14	1.85	1.7	2.11	0.26	1.28	1.13	0.94	0.64	0.62	0.93	0	0.16	0	1.11	1.73	0.59	0.7	1.34	1.03
WBGene00284949	31.34	14.02	19.06	18.38	17.58	21.24	16.16	21.5	15.55	10.13	10.58	4.02	6.59	6.54	10.06	13.62	9.64	12.94	15.45	15.09
WBGene00284950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00284951	31.56	11.23	15.64	17.82	18.81	22.33	18.09	19.42	13.29	12.91	14.43	6.9	7.1	7.26	22.23	29.38	22.44	13.24	17.71	15.51
WBGene00284952	17.76	11.92	11.84	12.61	19.69	23.36	18	34.58	22.05	4.6	5.74	3.25	2.81	3.19	5.84	9.21	5.77	17.63	23.97	24.25
WBGene00284953	60.77	19.74	21.71	25.02	10.31	15.91	12.46	11.37	10.07	5.2	6.86	3.49	3.73	5.37	6.9	11.86	5.57	8.03	9.79	11.64
WBGene00284954	15.52	30.12	27.79	17.13	15.75	13.72	14.57	13.35	16.88	8.79	13.31	8.83	9.54	6.29	9.15	12.88	6.53	19.87	17.11	27.78
WBGene00284955	72.88	43.61	56.4	47.54	87.87	103.41	80.42	160.87	113.57	16.9	20.53	24.36	23	23.97	16.63	30.12	17.09	56.13	79.53	96.17
WBGene00284957	42.86	37.56	56.42	48.28	31.45	34.43	23.17	49.32	36.81	10.23	12.68	9.02	8.29	8.11	15.96	21.32	13.95	31.66	37.83	35.39
WBGene00284958	0	1.34	0.94	1.3	1.45	1.79	1.3	3.27	1.97	0.41	0.94	0.94	0.97	0.53	1.06	0.87	0.55	2.97	3.05	3.38
WBGene00284959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00284960	0.35	0.1	0.14	0.56	1.94	1.54	0.8	6.32	6.72	0.4	0	0.17	0.26	0.35	0.45	0.14	0.27	6.56	6.28	6.06
WBGene00284961	25.86	6.67	7.51	6.47	1.37	3.04	2.54	1.65	1.77	0.55	0.52	3.81	2.69	3.74	0.86	1.18	0.97	1.44	2.24	2.11
WBGene00284962	45.5	8.78	13.11	16.76	8.83	10.47	8.5	11.19	6.8	6.15	6.46	5	11.13	11.99	6.57	9.08	7.23	5.66	7.7	6.89
