Essential gene ID in iTMU798	L2(n=1)|L3(n=3)|adult(n=7)
TMUE_2000009715	13.88|5.96|6.81
TMUE_2000009446	50.73|30.49|26.97
TMUE_0000001951	3.23|1.35|1.27
TMUE_2000009066	36.1|29.36|18.29
TMUE_3000013771	50.56|27.28|20.87
TMUE_2000009809	154.12|124.08|135.52
TMUE_3000011872	49.13|30.32|39.54
TMUE_2000006822	50.3|27.31|26.99
TMUE_3000013290	0.89|0.69|0.54
TMUE_1000003936	9.26|7.09|17.16
TMUE_1000005892	15.62|7.52|7.65
TMUE_2000009555	71.98|42.38|36.26
TMUE_2000008014	0.46|0.88|139.53
TMUE_1000004856	75.3|55.16|28.21
TMUE_1000004377	23.83|15.92|15.41
TMUE_2000010573	124.87|102.4|87.19
TMUE_2000009231	66.43|36.59|27.8
TMUE_3000011615	1.25|0.98|0.86
TMUE_3000012131	1.12|0.42|0.62
TMUE_2000010623	0.32|0.04|0.36
TMUE_0000001785	0.65|0.09|0.1
TMUE_1000005501	16.68|36.54|2.66
TMUE_2000010681	30.75|16.86|23.0
TMUE_1000003914	14.23|10.12|11.94
TMUE_0000001459	0.37|0.18|0.33
TMUE_1000003373	0.99|0.31|0.83
TMUE_0000001952	1.41|0.62|0.48
TMUE_0000002447	0.88|1.02|0.47
TMUE_3000014287	61.69|38.5|37.47
TMUE_2000010392	139.22|65.3|51.84
TMUE_3000013098	0.0|1.21|13.61
TMUE_1000004704	0.91|1.13|8.35
TMUE_3000013245	41.93|18.02|19.54
TMUE_1000003738	35.05|22.53|21.36
TMUE_3000011410	27.18|17.12|17.84
TMUE_2000007134	27.0|12.69|16.99
TMUE_1000004834	28.11|13.05|10.36
TMUE_3000013625	27.23|13.09|20.27
TMUE_1000005205	10.89|8.45|7.36
TMUE_2000009701	18.08|10.87|14.28
TMUE_2000008159	41.33|18.18|31.94
TMUE_2000006800	17.92|8.41|13.24
TMUE_3000013241	17.86|9.78|13.21
TMUE_1000002577	19.05|13.87|17.39
TMUE_2000009183	25.77|22.46|14.56
TMUE_2000006658	20.85|51.54|8.21
TMUE_2000009895	30.16|23.82|23.78
TMUE_3000012426	76.0|29.87|54.74
TMUE_2000006729	17.04|9.09|13.3
TMUE_1000005595	25.38|24.28|12.94
TMUE_3000012033	61.38|46.06|51.59
TMUE_2000006731	30.06|17.76|40.46
TMUE_3000013695	50.93|27.79|46.75
TMUE_1000004167	52.76|32.83|34.77
TMUE_2000006357	50.8|33.26|20.65
TMUE_1000005254	19.26|10.53|16.15
TMUE_3000014515	80.91|40.04|34.05
TMUE_2000007986	4.15|1.8|3.09
TMUE_3000012174	37.2|24.33|53.9
TMUE_3000012580	39.41|20.48|13.24
TMUE_2000008847	45.61|31.62|34.33
TMUE_1000002882	13.29|3.97|7.12
TMUE_3000014105	81.16|69.01|43.8
TMUE_3000014264	171.47|122.63|69.67
TMUE_2000007967	55.54|30.27|23.97
TMUE_2000007286	105.03|56.3|59.5
TMUE_2000010236	69.44|33.56|31.79
TMUE_2000007337	118.9|98.61|85.98
TMUE_1000005253	63.16|45.49|61.86
TMUE_1000003306	42.79|15.26|14.15
TMUE_1000003707	101.55|64.38|26.47
TMUE_3000013910	151.96|166.51|328.36
TMUE_3000010929	5.67|3.73|8.39
TMUE_2000006250	153.41|115.14|73.07
TMUE_2000009334	37.11|30.62|41.38
TMUE_3000012460	114.7|87.78|50.95
TMUE_2000009267	109.12|85.84|66.76
TMUE_0000002227	0.13|0.1|0.09
TMUE_3000014850	88.71|52.59|71.36
TMUE_2000008205	33.27|15.52|13.58
TMUE_2000007606	0.18|0.12|0.84
TMUE_1000004597	124.32|67.42|29.52
TMUE_2000007565	11.68|5.82|5.77
TMUE_2000006208	122.78|74.75|61.78
TMUE_2000010565	77.97|53.37|46.63
TMUE_2000006331	17.94|9.55|20.36
TMUE_2000007088	27.95|16.63|13.55
TMUE_3000014499	44.14|30.49|28.24
TMUE_3000014686	126.05|93.69|97.01
TMUE_3000010840	99.45|67.47|51.63
TMUE_3000014402	167.48|114.12|78.46
TMUE_2000007573	110.44|83.25|52.69
TMUE_3000013727	61.1|47.42|25.65
TMUE_3000011601	16.18|8.66|8.68
TMUE_2000010451	90.38|55.65|40.15
TMUE_1000003622	19.08|9.82|16.02
TMUE_3000014274	63.53|46.5|27.31
TMUE_1000003660	18.48|11.74|10.38
TMUE_3000014117	182.75|100.74|77.14
TMUE_1000005386	64.89|46.67|26.52
TMUE_3000012660	0.41|0.24|0.06
TMUE_3000013276	45.17|22.02|27.47
TMUE_3000013500	22.5|18.45|16.77
TMUE_1000003542	43.25|30.69|26.03
TMUE_2000008660	82.05|63.13|46.79
TMUE_3000013704	62.07|50.72|52.95
TMUE_3000014314	79.87|53.46|77.14
