Name	20402_8#5	20402_8#6	20402_8#15	20402_8#16	20402_8#25	20402_8#26	Average (TPM)
TMUE_0000000001	234.414078	201.754119	100.80269	0	124.560215	204.905366	144.406078
TMUE_0000000002	0	0	5.293959	0	5.46935	0	1.793884833
TMUE_0000000003	0	0	0	0	0	0	0
TMUE_0000000004	0	0	0	0	0	0	0
TMUE_0000000005	0	0	4.514834	5.354585	2.326059	3.389185	2.597443833
TMUE_0000000006	8.151004	41.520338	144.471619	39.203138	37.469896	36.607844	51.2373065
TMUE_0000000007	14.494553	9.594081	48.167175	16.033262	50.119735	32.111533	28.4200565
TMUE_0000000008	0	22.502439	0	0	0	0	3.7504065
TMUE_0000000009	1.707309	10.250149	4.930792	3.111857	2.583326	7.184616	4.9613415
TMUE_0000000010	0	0	0	0	0	0	0
TMUE_0000000011	0	0	0	0	0	0	0
TMUE_0000000012	2.445697	0	3.360174	1.499622	0	1.90267	1.534693833
TMUE_0000000013	18.506716	11.0846	0	10.645786	24.267404	15.090279	13.2657975
TMUE_0000000014	28.754714	12.292776	3.081774	2.182124	2.546176	3.441801	8.716560833
TMUE_0000000015	0	0	1.528424	0	0	0	0.254737333
TMUE_0000000016	0	2.922262	1.159359	0	2.723016	3.014284	1.636486833
TMUE_0000000017	0	0	0	0	0	0	0
TMUE_0000000018	15.853394	12.312655	52.262871	11.64715	42.591139	34.45162	28.1864715
TMUE_0000000019	53.308573	22.965428	35.897669	17.539574	50.757908	25.383617	34.30879483
TMUE_0000000020	0	0	0	0	0	0	0
TMUE_0000000021	36.62889	18.80878	88.796934	7.379915	133.407965	57.040391	57.01047917
TMUE_0000000022	0	0	2.624241	0	16.266588	0	3.1484715
TMUE_0000000023	0	0	0	0	0	0.967375	0.161229167
TMUE_0000000024	46.916137	11.119004	8.929707	9.43943	22.18395	15.819142	19.067895
TMUE_0000000025	123.876854	35.098222	79.896954	0	41.422593	25.874526	51.0281915
TMUE_0000000026	0	0.617167	0.490976	0	0.505284	0	0.2689045
TMUE_0000000027	0	0	0	0	35.486857	12.814033	8.050148333
TMUE_0000000028	19.051433	4.052077	6.4861	0	3.367607	0	5.4928695
TMUE_0000000029	48.08361	34.964156	21.3502	12.946622	44.340881	17.340848	29.8377195
TMUE_0000000030	19.370175	2.770595	14.397112	3.925874	11.430564	13.634198	10.92141967
TMUE_0000000031	18.408374	7.600903	2.012314	5.139005	5.615783	9.789177	8.094259333
TMUE_0000000032	0	0	0	0	0	0	0
TMUE_0000000033	0	0	0	0	0	0	0
TMUE_0000000034	0	0	0	0	0	0	0
TMUE_0000000035	0	0	0	0	0	0	0
TMUE_0000000036	9.273514	4.014375	5.948069	1.520198	8.296739	4.828806	5.646950167
TMUE_0000000037	236.926088	105.652268	157.65619	58.636093	167.488191	172.874679	149.8722515
TMUE_0000000038	49.511129	0	11.437729	12.581761	12.966252	12.31574	16.4687685
TMUE_0000000039	0	0	0	0	0	0	0
TMUE_0000000040	0	4.094347	0	0	0	0	0.682391167
TMUE_0000000041	30.985441	62.503965	60.95711	102.459469	149.059084	69.656479	79.270258
TMUE_0000000042	11.142993	19.096295	16.559757	33.809375	26.316353	24.168642	21.8489025
TMUE_0000000043	13.451373	7.25259	7.505739	11.319049	12.48304	18.258329	11.71168667
TMUE_0000000044	0	0.749246	0	0	0	0	0.124874333
TMUE_0000000045	0	0	0	0	0	0	0
TMUE_0000000046	75.925731	16.207877	30.100672	46.069824	49.089869	28.297422	40.94856583
TMUE_0000000047	0	0	0	0	0	0	0
TMUE_0000000048	0	0	0	0	0	0	0
TMUE_0000000049	0	0	0	0	0	0	0
TMUE_0000000050	38.956265	18.549	20.4124	6.264134	14.63947	29.349807	21.361846
TMUE_0000000051	4.932147	0	8.78409	1.963706	12.3519	0	4.671973833
TMUE_0000000052	18.322131	11.495896	20.590342	11.21361	29.44225	21.96511	18.83822317
TMUE_0000000053	0	0	0	0	0	1.944446	0.324074333
TMUE_0000000054	0	0	4.565114	0	2.366049	0	1.155193833
TMUE_0000000055	0	1.35922	0	0	0	1.224547	0.430627833
TMUE_0000000056	0	0	0	0	0	0	0
TMUE_0000000057	21.478736	8.764272	9.017085	0.365881	8.854654	1.670131	8.358459833
TMUE_0000000058	0	0	5.362794	10.734299	0	4.230503	3.387932667
TMUE_0000000059	17.107439	0	4.85441	0	2.226489	2.456857	4.440865833
TMUE_0000000060	16.910299	0	0	0	6.00571	6.027295	4.823884
TMUE_0000000061	47.139617	37.159992	27.86069	23.94619	65.795583	33.311893	39.2023275
TMUE_0000000062	72.03175	27.175279	17.312618	17.624086	49.026411	48.150468	38.55343533
TMUE_0000000063	0	0	0	0	11.537459	0	1.922909833
TMUE_0000000064	0	0	0	0	0	0	0
TMUE_0000000065	16.346403	6.625619	18.618396	6.364293	22.73559	2.496107	12.19773467
TMUE_0000000066	0	0	0	0	0	0	0
TMUE_0000000067	29.068282	15.280448	4.98149	7.998386	15.352868	9.057206	13.62311333
TMUE_0000000068	4733.256781	2782.33936	3329.906417	1460.288436	2650.75756	2707.041222	2943.931629
TMUE_0000000069	0	0	9.085762	9.628476	17.477507	16.504626	8.7827285
TMUE_0000000070	0	0.790244	0	0	1.077321	1.423113	0.548446333
TMUE_0000000071	0	0	0	8.394723	2.436529	0	1.805208667
TMUE_0000000072	149.612554	84.329191	124.208471	37.011272	126.366129	138.00303	109.9217745
TMUE_0000000073	1.425023	0	0	0.739353	0	0	0.360729333
TMUE_0000000074	0	0	0	0	0	0	0
TMUE_0000000075	0.725076	0.188534	1.968079	1.249773	2.343075	0	1.0790895
TMUE_0000000076	0	0	0	0	0	0	0
TMUE_0000000077	25.553717	10.249804	1.502292	4.05034	4.367594	5.637975	8.560287
TMUE_0000000078	1.650162	0.475447	10.669476	0.33745	5.377962	2.355476	3.477662167
TMUE_0000000079	13.860564	3.315172	0	4.705189	0	2.909551	4.131746
TMUE_0000000080	0	0	0	0	0	14.647916	2.441319333
TMUE_0000000081	107.168808	15.196754	51.462541	15.15702	104.060801	64.692989	59.62315217
TMUE_0000000082	0	0	0	0	0	1.977393	0.3295655
TMUE_0000000083	0	0	0	0	9.617592	0	1.602932
TMUE_0000000084	27.697545	0	4.695919	0	4.873058	5.153069	7.069931833
TMUE_0000000085	0	0	0	0	0	0	0
TMUE_0000000086	0	0	0	0	0	0	0
TMUE_0000000087	0	0	0	0	0	0	0
TMUE_0000000088	0	0	0	0	0	3.306391	0.551065167
TMUE_0000000089	0	0	0	0	0	0	0
TMUE_0000000090	0	0	0	0	0.926698	0	0.154449667
TMUE_0000000091	0	0	0	0	0	0	0
TMUE_0000000092	0	0	3.447808	0	2.130957	2.331893	1.318443
TMUE_0000000093	2.330169	0	0	0	2.472921	0	0.800515
TMUE_0000000094	19.933103	2.646821	2.106229	2.816852	1.625976	1.785665	5.152441
TMUE_0000000095	19.990139	15.403199	23.306638	19.388719	46.748811	38.191632	27.171523
TMUE_0000000096	0	0	2.537065	0	0	0	0.422844167
TMUE_0000000097	0	5.327644	10.62111	0	11.92006	0	4.644802333
TMUE_0000000098	106.231951	34.812441	74.652691	32.390654	80.544329	84.869138	68.91686733
TMUE_0000000099	0	5.538588	0	0	0	0	0.923098
TMUE_0000000100	46.079521	43.523011	20.024554	16.821596	58.725804	63.75365	41.48802267
TMUE_0000000101	7227.941741	2434.839678	7604.561965	1915.458702	8052.427439	6195.305952	5571.755913
TMUE_0000000102	88.564757	19.071061	30.343173	0	31.276265	0	28.20920933
TMUE_0000000103	0	0	0	0	0	0	0
TMUE_0000000104	132.779471	34.811989	97.402673	12.337091	86.682904	53.408235	69.57039383
TMUE_0000000105	0	0	1.279165	0	0	2.855029	0.689032333
TMUE_0000000106	0	0	0	0	0	0	0
TMUE_0000000107	19.921048	8.990951	18.74657	3.191303	6.119146	17.222762	12.36529667
TMUE_0000000108	0	0	0	0	0	0	0
TMUE_0000000109	0	0	0	0	0	0	0
TMUE_0000000110	0	0	0	0	0	0	0
TMUE_0000000111	0	0	0	3.638699	2.11627	2.298875	1.342307333
TMUE_0000000112	0	0	0	0	0	0	0
TMUE_0000000113	0	0	0	0	3.855009	1.048994	0.817333833
TMUE_0000000114	198.475265	154.948229	314.405501	81.618002	307.450204	237.243311	215.6900853
TMUE_0000000115	93.05258	59.599736	65.109827	0	131.63644	50.35008	66.62477717
TMUE_0000000116	0	0	0	0	3.766014	0	0.627669
TMUE_0000000117	0	4.037505	0	0.296422	0	0	0.722321167
TMUE_0000000118	44.468912	45.226735	21.815113	35.003541	25.825036	19.105195	31.907422
TMUE_0000000119	47.475651	43.925311	41.552281	8.691004	73.899881	33.908371	41.5754165
TMUE_0000000120	40.447785	0	27.674516	0	28.555198	62.182492	26.47666517
TMUE_0000000121	0	11.435032	36.68218	13.49076	42.669348	16.987795	20.2108525
TMUE_0000000122	0	0	0	0	0	0	0
TMUE_0000000123	1.90923	0	3.277474	0	2.025355	1.478659	1.448453
TMUE_0000000124	151.06449	63.018426	165.924203	35.461522	113.45588	104.114659	105.50653
TMUE_0000000125	0	0	12.845704	5.684444	43.35508	63.423813	20.88484017
TMUE_0000000126	12.97399	0	1.272717	0	0	1.435964	2.6137785
TMUE_0000000127	49.161437	6.211495	37.702566	0	20.471382	24.015391	22.92704517
TMUE_0000000128	138.341323	27.9765	85.65611	4.661468	73.516103	52.908107	63.8432685
TMUE_0000000129	0	0	0	0	0	0	0
TMUE_0000000130	0	1.969885	3.141577	0	1.618803	7.070939	2.300200667
TMUE_0000000131	0	24.727836	34.987257	0	0	0	9.9525155
TMUE_0000000132	43.257266	0	14.897066	9.743281	18.25602	12.355491	16.41818733
TMUE_0000000133	140.64493	69.433321	79.202523	34.024016	89.54849	75.616345	81.41160417
TMUE_0000000134	0	5.896892	0	1.931774	1.483041	1.225984	1.756281833
TMUE_0000000135	1100.605848	382.987242	633.372289	188.21038	327.487574	354.540159	497.8672487
TMUE_0000000136	0	0	0	0	0	0	0
TMUE_0000000137	13.971366	0	0	0	2.473263	0	2.7407715
TMUE_0000000138	7.801317	7.40601	13.93086	3.821377	17.097489	15.744973	10.96700433
TMUE_0000000139	0	0	0	0	0	0	0
TMUE_0000000140	9.99389	5.747948	4.575632	1.019419	11.7769	4.522229	6.272669667
TMUE_0000000141	59.986375	16.74403	23.668073	0	22.296124	10.379209	22.1789685
TMUE_0000000142	0	8.785842	4.08276	1.037286	7.255351	0.654702	3.635990167
TMUE_0000000143	0	0	0	0	0	0	0
TMUE_0000000144	28.303803	28.011265	38.474161	13.934569	56.105083	19.2834	30.68538017
TMUE_0000000145	0	0	0	0	10.487665	8.407487	3.149192
TMUE_0000000146	0	0	0	8.602869	8.407934	3.608027	3.436471667
TMUE_0000000147	10.053254	7.502826	24.64128	2.946976	30.485864	21.689562	16.21996033
