FROM_REACTION_ID	TYPE	TO_REACTION_ID
10024	is_a	51736
10025	is_a	51737
10026	is_a	51738
10027	is_a	51739
10028	is_a	21816
10029	is_a	21817
10030	is_a	21818
10031	is_a	21819
10040	is_a	43532
10041	is_a	43533
10042	is_a	43534
10043	is_a	43535
10044	is_a	10740
10045	is_a	10741
10046	is_a	10742
10047	is_a	10743
10052	is_a	35643
10053	is_a	35644
10054	is_a	35645
10055	is_a	35646
10060	is_a	20704
10061	is_a	20705
10062	is_a	20706
10063	is_a	20707
10092	is_a	15017
10093	is_a	15018
10094	is_a	15019
10095	is_a	15020
10132	is_a	24336
10133	is_a	24337
10134	is_a	24338
10135	is_a	24339
10144	is_a	15017
10145	is_a	15018
10146	is_a	15019
10147	is_a	15020
10176	is_a	34555
10177	is_a	34556
10178	is_a	34557
10179	is_a	34558
10248	is_a	44644
10249	is_a	44645
10250	is_a	44646
10251	is_a	44647
10356	is_a	10740
10357	is_a	10741
10358	is_a	10742
10359	is_a	10743
10392	is_a	15937
10393	is_a	15938
10394	is_a	15939
10395	is_a	15940
10496	is_a	48100
10497	is_a	48101
10498	is_a	48102
10499	is_a	48103
10652	is_a	49832
10653	is_a	49833
10654	is_a	49834
10655	is_a	49835
10664	is_a	10736
10665	is_a	10737
10666	is_a	10738
10667	is_a	10739
10680	is_a	18317
10681	is_a	18318
10682	is_a	18319
10683	is_a	18320
10736	is_a	14685
10737	is_a	14686
10738	is_a	14687
10739	is_a	14688
10764	is_a	54432
10765	is_a	54433
10766	is_a	54434
10767	is_a	54435
10768	is_a	54432
10769	is_a	54433
10770	is_a	54434
10771	is_a	54435
10784	is_a	60924
10785	is_a	60925
10786	is_a	60926
10787	is_a	60927
10808	is_a	30275
10809	is_a	30276
10810	is_a	30277
10811	is_a	30278
10824	is_a	22556
10824	is_a	42768
10825	is_a	22557
10825	is_a	42769
10826	is_a	22558
10826	is_a	42770
10827	is_a	22559
10827	is_a	42771
10828	is_a	24336
10829	is_a	24337
10830	is_a	24338
10831	is_a	24339
10856	is_a	13093
10857	is_a	13094
10858	is_a	13095
10859	is_a	13096
10948	is_a	22740
10949	is_a	22741
10950	is_a	22742
10951	is_a	22743
10980	is_a	18317
10981	is_a	18318
10982	is_a	18319
10983	is_a	18320
11028	is_a	22740
11029	is_a	22741
11030	is_a	22742
11031	is_a	22743
11080	is_a	36167
11081	is_a	36168
11082	is_a	36169
11083	is_a	36170
11180	is_a	18349
11181	is_a	18350
11182	is_a	18351
11183	is_a	18352
11188	is_a	21724
11189	is_a	21725
11190	is_a	21726
11191	is_a	21727
11524	is_a	54412
11525	is_a	54413
11526	is_a	54414
11527	is_a	54415
11556	is_a	19265
11557	is_a	19266
11558	is_a	19267
11559	is_a	19268
11584	is_a	18317
11585	is_a	18318
11586	is_a	18319
11587	is_a	18320
11600	is_a	24036
11601	is_a	24037
11602	is_a	24038
11603	is_a	24039
11712	is_a	42316
11713	is_a	42317
11714	is_a	42318
11715	is_a	42319
11804	is_a	16185
11805	is_a	16186
11806	is_a	16187
11807	is_a	16188
11808	is_a	18861
11809	is_a	18862
11810	is_a	18863
11811	is_a	18864
11836	is_a	52104
11837	is_a	52105
11838	is_a	52106
11839	is_a	52107
11840	is_a	11804
11841	is_a	11805
11842	is_a	11806
11843	is_a	11807
11896	is_a	10740
11897	is_a	10741
11898	is_a	10742
11899	is_a	10743
11904	is_a	36055
11905	is_a	36056
11906	is_a	36057
11907	is_a	36058
11924	is_a	56572
11925	is_a	56573
11926	is_a	56574
11927	is_a	56575
11956	is_a	58312
11957	is_a	58313
11958	is_a	58314
11959	is_a	58315
11964	is_a	19037
11965	is_a	19038
11966	is_a	19039
11967	is_a	19040
12044	is_a	21164
12045	is_a	21165
12046	is_a	21166
12047	is_a	21167
12064	is_a	39039
12065	is_a	39040
12066	is_a	39041
12067	is_a	39042
12076	is_a	10736
12077	is_a	10737
12078	is_a	10738
12079	is_a	10739
12108	is_a	48100
12109	is_a	48101
12110	is_a	48102
12111	is_a	48103
12168	is_a	15937
12169	is_a	15938
12170	is_a	15939
12171	is_a	15940
12184	is_a	10740
12185	is_a	10741
12186	is_a	10742
12187	is_a	10743
12216	is_a	10740
12217	is_a	10741
12218	is_a	10742
12219	is_a	10743
12388	is_a	18849
12389	is_a	18850
12390	is_a	18851
12391	is_a	18852
12444	is_a	44724
12445	is_a	44725
12446	is_a	44726
12447	is_a	44727
12484	is_a	15017
12485	is_a	15018
12486	is_a	15019
12487	is_a	15020
12492	is_a	18317
12493	is_a	18318
12494	is_a	18319
12495	is_a	18320
12512	is_a	21816
12513	is_a	21817
12514	is_a	21818
12515	is_a	21819
12516	is_a	25452
12517	is_a	25453
12518	is_a	25454
12519	is_a	25455
12645	is_a	42316
12646	is_a	42317
12647	is_a	42318
12648	is_a	42319
12669	is_a	20629
12670	is_a	20630
12671	is_a	20631
12672	is_a	20632
12697	is_a	11216
12698	is_a	11217
12699	is_a	11218
12700	is_a	11219
12765	is_a	42316
12766	is_a	42317
12767	is_a	42318
12768	is_a	42319
12801	is_a	17989
12802	is_a	17990
12803	is_a	17991
12804	is_a	17992
12813	is_a	18317
12814	is_a	18318
12815	is_a	18319
12816	is_a	18320
12849	is_a	20629
12850	is_a	20630
12851	is_a	20631
12852	is_a	20632
12873	is_a	35735
12874	is_a	35736
12875	is_a	35737
12876	is_a	35738
12909	is_a	21068
12910	is_a	21069
12911	is_a	21070
12912	is_a	21071
12957	is_a	21164
12958	is_a	21165
12959	is_a	21166
12960	is_a	21167
13065	is_a	23680
13066	is_a	23681
13067	is_a	23682
13068	is_a	23683
13093	is_a	49596
13094	is_a	49597
13095	is_a	49598
13096	is_a	49599
13233	is_a	19805
13234	is_a	19806
13235	is_a	19807
13236	is_a	19808
13473	is_a	10396
13474	is_a	10397
13475	is_a	10398
13476	is_a	10399
13509	is_a	13205
13510	is_a	13206
13511	is_a	13207
13512	is_a	13208
13513	is_a	18073
13514	is_a	18074
13515	is_a	18075
13516	is_a	18076
13517	is_a	11216
13518	is_a	11217
13519	is_a	11218
13520	is_a	11219
13521	is_a	15089
13522	is_a	15090
13523	is_a	15091
13524	is_a	15092
13577	is_a	21164
13578	is_a	21165
13579	is_a	21166
13580	is_a	21167
13645	is_a	14405
13646	is_a	14406
13647	is_a	14407
13648	is_a	14408
13649	is_a	14293
13650	is_a	14294
13651	is_a	14295
13652	is_a	14296
13713	is_a	16357
13714	is_a	16358
13715	is_a	16359
13716	is_a	16360
13861	is_a	15917
13862	is_a	15918
13863	is_a	15919
13864	is_a	15920
13881	is_a	56856
13882	is_a	56857
13883	is_a	56858
13884	is_a	56859
13913	is_a	18317
13914	is_a	18318
13915	is_a	18319
13916	is_a	18320
13933	is_a	38555
13934	is_a	38556
13935	is_a	38557
13936	is_a	38558
14001	is_a	19869
14002	is_a	19870
14003	is_a	19871
14004	is_a	19872
14037	is_a	54412
14038	is_a	54413
14039	is_a	54414
14040	is_a	54415
14121	is_a	44452
14122	is_a	44453
14123	is_a	44454
14124	is_a	44455
14185	is_a	11628
14186	is_a	11629
14187	is_a	11630
14188	is_a	11631
14209	is_a	13205
14210	is_a	13206
14211	is_a	13207
14212	is_a	13208
14225	is_a	39035
14226	is_a	39036
14227	is_a	39037
14228	is_a	39038
14241	is_a	16613
14242	is_a	16614
14243	is_a	16615
14244	is_a	16616
14245	is_a	23996
14246	is_a	23997
14247	is_a	23998
14248	is_a	23999
14293	is_a	15917
14294	is_a	15918
14295	is_a	15919
14296	is_a	15920
14361	is_a	53892
14362	is_a	53893
14363	is_a	53894
14364	is_a	53895
14405	is_a	36587
14406	is_a	36588
14407	is_a	36589
14408	is_a	36590
14437	is_a	13781
14438	is_a	13782
14439	is_a	13783
14440	is_a	13784
14473	is_a	33763
14474	is_a	33765
14475	is_a	33764
14476	is_a	33766
14477	is_a	44704
14478	is_a	44705
14479	is_a	44706
14480	is_a	44707
14493	is_a	14885
14494	is_a	14886
14495	is_a	14887
14496	is_a	14888
14521	is_a	15937
14522	is_a	15938
14523	is_a	15939
14524	is_a	15940
14545	is_a	12020
14546	is_a	12021
14547	is_a	12022
14548	is_a	12023
14565	is_a	22836
14566	is_a	22837
14567	is_a	22838
14568	is_a	22839
14589	is_a	55332
14590	is_a	55333
14591	is_a	55334
14592	is_a	55335
14605	is_a	54132
14606	is_a	54133
14607	is_a	54134
14608	is_a	54135
14697	is_a	15937
14698	is_a	15938
14699	is_a	15939
14700	is_a	15940
14781	is_a	14289
14782	is_a	14290
14783	is_a	14291
14784	is_a	14292
14861	is_a	18073
14862	is_a	18074
14863	is_a	18075
14864	is_a	18076
14873	is_a	10736
14874	is_a	10737
14875	is_a	10738
14876	is_a	10739
14909	is_a	15937
14910	is_a	15938
14911	is_a	15939
14912	is_a	15940
14917	is_a	54028
14918	is_a	54029
14919	is_a	54030
14920	is_a	54031
14973	is_a	18317
14974	is_a	18318
14975	is_a	18319
14976	is_a	18320
15113	is_a	19037
15114	is_a	19038
15115	is_a	19039
15116	is_a	19040
15133	is_a	10396
15134	is_a	10397
15135	is_a	10398
15136	is_a	10399
15173	is_a	30275
15174	is_a	30276
15175	is_a	30277
15176	is_a	30278
15277	is_a	45948
15278	is_a	45949
15279	is_a	45950
15280	is_a	45951
15409	is_a	20972
15410	is_a	20973
15411	is_a	20974
15412	is_a	20975
15421	is_a	38883
15422	is_a	38884
15423	is_a	38885
15424	is_a	38886
15441	is_a	18073
15442	is_a	18074
15443	is_a	18075
15444	is_a	18076
15465	is_a	51496
15466	is_a	51497
15467	is_a	51498
15468	is_a	51499
15529	is_a	21164
15530	is_a	21165
15531	is_a	21166
15532	is_a	21167
15577	is_a	56816
15578	is_a	56817
15579	is_a	56818
15580	is_a	56819
15785	is_a	40963
15786	is_a	40964
15787	is_a	40965
15788	is_a	40966
15801	is_a	44664
15802	is_a	44665
15803	is_a	44666
15804	is_a	44667
15881	is_a	17989
15882	is_a	17990
15883	is_a	17991
15884	is_a	17992
16045	is_a	53432
16046	is_a	53433
16047	is_a	53434
16048	is_a	53435
16065	is_a	43996
16066	is_a	43997
16067	is_a	43998
16068	is_a	43999
16105	is_a	33767
16106	is_a	33768
16107	is_a	33769
16108	is_a	33770
16117	is_a	24336
16118	is_a	24337
16119	is_a	24338
16120	is_a	24339
16125	is_a	22740
16126	is_a	22741
16127	is_a	22742
16128	is_a	22743
16153	is_a	51128
16154	is_a	51129
16155	is_a	51130
16156	is_a	51131
16177	is_a	16185
16178	is_a	16186
16179	is_a	16187
16180	is_a	16188
16277	is_a	16829
16278	is_a	16830
16279	is_a	16831
16280	is_a	16832
16289	is_a	11356
16290	is_a	11358
16291	is_a	11357
16292	is_a	11359
16297	is_a	34787
16298	is_a	34788
16299	is_a	34789
16300	is_a	34790
16313	is_a	21164
16314	is_a	21165
16315	is_a	21166
16316	is_a	21167
16369	is_a	15089
16370	is_a	15090
16371	is_a	15091
16372	is_a	15092
16393	is_a	21164
16394	is_a	21165
16395	is_a	21166
16396	is_a	21167
16433	is_a	50500
16434	is_a	50501
16435	is_a	50502
16436	is_a	50503
16457	is_a	18853
16458	is_a	18854
16459	is_a	18855
16460	is_a	18856
16497	is_a	58728
16498	is_a	58729
16499	is_a	58730
16500	is_a	58731
16541	is_a	23328
16542	is_a	23329
16543	is_a	23330
16544	is_a	23331
16641	is_a	50148
16642	is_a	50149
16643	is_a	50150
16644	is_a	50151
16645	is_a	16781
16646	is_a	16782
16647	is_a	16783
16648	is_a	16784
16657	is_a	23344
16658	is_a	23345
16659	is_a	23346
16660	is_a	23347
16677	is_a	16185
16678	is_a	16186
16679	is_a	16187
16680	is_a	16188
16809	is_a	57504
16810	is_a	57505
16811	is_a	57506
16812	is_a	57507
16833	is_a	30275
16834	is_a	30276
16835	is_a	30277
16836	is_a	30278
16957	is_a	14653
16958	is_a	14654
16959	is_a	14655
16960	is_a	14656
17029	is_a	30819
17030	is_a	30820
17031	is_a	30821
17032	is_a	30822
17037	is_a	15937
17038	is_a	15938
17039	is_a	15939
17040	is_a	15940
17049	is_a	44380
17050	is_a	44381
17051	is_a	44382
17052	is_a	44383
17085	is_a	14685
17086	is_a	14686
17087	is_a	14687
17088	is_a	14688
17133	is_a	17989
17134	is_a	17990
17135	is_a	17991
17136	is_a	17992
17301	is_a	17989
17302	is_a	17990
17303	is_a	17991
17304	is_a	17992
17341	is_a	33375
17342	is_a	33377
17343	is_a	33376
17344	is_a	33378
17497	is_a	56344
17498	is_a	56345
17499	is_a	56346
17500	is_a	56347
17505	is_a	39995
17506	is_a	39996
17507	is_a	39997
17508	is_a	39998
17541	is_a	19829
17542	is_a	19830
17543	is_a	19831
17544	is_a	19832
17681	is_a	10736
17682	is_a	10737
17683	is_a	10738
17684	is_a	10739
17709	is_a	44504
17710	is_a	44505
17711	is_a	44506
17712	is_a	44507
17721	is_a	44704
17722	is_a	44705
17723	is_a	44706
17724	is_a	44707
17725	is_a	57496
17726	is_a	57497
17727	is_a	57498
17728	is_a	57499
17761	is_a	15937
17762	is_a	15938
17763	is_a	15939
17764	is_a	15940
17817	is_a	53836
17818	is_a	53837
17819	is_a	53838
17820	is_a	53839
17825	is_a	22740
17826	is_a	22741
17827	is_a	22742
17828	is_a	22743
17849	is_a	26526
17849	is_a	45584
17850	is_a	26527
17850	is_a	45585
17851	is_a	26528
17851	is_a	45586
17852	is_a	26529
17852	is_a	45587
17901	is_a	21244
17902	is_a	21245
17903	is_a	21246
17904	is_a	21247
17913	is_a	21068
17914	is_a	21069
17915	is_a	21070
17916	is_a	21071
17925	is_a	15917
17926	is_a	15918
17927	is_a	15919
17928	is_a	15920
17941	is_a	57500
17942	is_a	57501
17943	is_a	57502
17944	is_a	57503
17981	is_a	54384
17982	is_a	54385
17983	is_a	54386
17984	is_a	54387
17985	is_a	16185
17986	is_a	16186
17987	is_a	16187
17988	is_a	16188
18009	is_a	53916
18010	is_a	53917
18011	is_a	53918
18012	is_a	53919
18017	is_a	11628
18018	is_a	11629
18019	is_a	11630
18020	is_a	11631
18021	is_a	48260
18022	is_a	48261
18023	is_a	48262
18024	is_a	48263
18053	is_a	16001
18054	is_a	16002
18055	is_a	16003
18056	is_a	16004
18069	is_a	18317
18070	is_a	18318
18071	is_a	18319
18072	is_a	18320
18077	is_a	19149
18078	is_a	19150
18079	is_a	19151
18080	is_a	19152
18129	is_a	11888
18130	is_a	11889
18131	is_a	11890
18132	is_a	11891
18157	is_a	56960
18158	is_a	56961
18159	is_a	56962
18160	is_a	56963
18161	is_a	21564
18162	is_a	21565
18163	is_a	21566
18164	is_a	21567
18189	is_a	15873
18190	is_a	15874
18191	is_a	15875
18192	is_a	15876
18281	is_a	16357
18282	is_a	16358
18283	is_a	16359
18284	is_a	16360
18293	is_a	14289
