Gene name	Gene stable ID
TMUE_3000011056	WBGene00284906
TMUE_3000013236	WBGene00284908
TMUE_3000011053	WBGene00284909
TMUE_3000011052	WBGene00284910
TMUE_3000011051	WBGene00284911
TMUE_3000011050	WBGene00284912
TMUE_3000013234	WBGene00284914
TMUE_3000011049	WBGene00284915
TMUE_3000011048	WBGene00284916
TMUE_3000011046	WBGene00284918
TMUE_3000013233	WBGene00284919
TMUE_3000013232	WBGene00284920
TMUE_3000011045	WBGene00284921
TMUE_3000013231	WBGene00284922
TMUE_3000013230	WBGene00284923
TMUE_3000011044	WBGene00284924
TMUE_3000013229	WBGene00284925
TMUE_3000013227	WBGene00284926
TMUE_3000011042	WBGene00284927
TMUE_3000011041	WBGene00284928
TMUE_3000011040	WBGene00284929
TMUE_3000013226	WBGene00284930
TMUE_3000011039	WBGene00284931
TMUE_3000011038	WBGene00284932
TMUE_3000013225	WBGene00284933
TMUE_3000013224	WBGene00284934
TMUE_3000013223	WBGene00284935
TMUE_3000011037	WBGene00284936
TMUE_3000013222	WBGene00284937
TMUE_3000011036	WBGene00284938
TMUE_3000013221	WBGene00284939
TMUE_3000013220	WBGene00284940
TMUE_3000013219	WBGene00284941
TMUE_3000011035	WBGene00284942
TMUE_3000013218	WBGene00284943
TMUE_3000013217	WBGene00284944
TMUE_3000011034	WBGene00284945
TMUE_3000013216	WBGene00284948
TMUE_3000011032	WBGene00284949
TMUE_3000013215	WBGene00284950
TMUE_3000011031	WBGene00284951
TMUE_3000013214	WBGene00284952
TMUE_3000013212	WBGene00284953
TMUE_3000011029	WBGene00284954
TMUE_3000011028	WBGene00284955
TMUE_3000013211	WBGene00284957
TMUE_3000013210	WBGene00284958
TMUE_3000011027	WBGene00284959
TMUE_3000013209	WBGene00284960
TMUE_3000013208	WBGene00284961
TMUE_3000013207	WBGene00284962
TMUE_3000011026	WBGene00284963
TMUE_3000011025	WBGene00284966
TMUE_3000011023	WBGene00284967
TMUE_3000013205	WBGene00284968
TMUE_3000011022	WBGene00284969
TMUE_3000013204	WBGene00284970
TMUE_3000011021	WBGene00284971
TMUE_3000013203	WBGene00284972
TMUE_3000013202	WBGene00284974
TMUE_3000011019	WBGene00284976
TMUE_3000013201	WBGene00284977
TMUE_3000013200	WBGene00284978
TMUE_3000011018	WBGene00284979
TMUE_3000011017	WBGene00284980
TMUE_3000013199	WBGene00284982
TMUE_3000011015	WBGene00284983
TMUE_3000013198	WBGene00284984
TMUE_3000013197	WBGene00284985
TMUE_3000011014	WBGene00284986
TMUE_3000013196	WBGene00284987
TMUE_3000013195	WBGene00284988
TMUE_3000013193	WBGene00284989
TMUE_3000011011	WBGene00284990
TMUE_3000013192	WBGene00284991
TMUE_3000011010	WBGene00284992
TMUE_3000011009	WBGene00284993
TMUE_3000013191	WBGene00284994
TMUE_3000013190	WBGene00284995
TMUE_3000011007	WBGene00284996
TMUE_3000011006	WBGene00284997
TMUE_3000011005	WBGene00284998
TMUE_3000013189	WBGene00284999
TMUE_3000011004	WBGene00285000
TMUE_3000013187	WBGene00285001
TMUE_3000013186	WBGene00285002
TMUE_3000013185	WBGene00285003
TMUE_3000013181	WBGene00285005
TMUE_3000011002	WBGene00285006
TMUE_3000011001	WBGene00285007
TMUE_3000013179	WBGene00285009
TMUE_3000011000	WBGene00285010
TMUE_3000013178	WBGene00285011
TMUE_3000010998	WBGene00285012
TMUE_3000010997	WBGene00285013
TMUE_3000010996	WBGene00285014
TMUE_3000013176	WBGene00285016
TMUE_3000013175	WBGene00285017
TMUE_3000013174	WBGene00285019
TMUE_3000013172	WBGene00285020
TMUE_3000013170	WBGene00285021
TMUE_3000010995	WBGene00285022
TMUE_3000013169	WBGene00285023
TMUE_3000013166	WBGene00285025
TMUE_3000010991	WBGene00285026
TMUE_3000010990	WBGene00285027
TMUE_3000010989	WBGene00285028
TMUE_3000013165	WBGene00285029
TMUE_3000010988	WBGene00285031
TMUE_3000013164	WBGene00285032
TMUE_3000010987	WBGene00285033
TMUE_3000010986	WBGene00285034
TMUE_3000010985	WBGene00285035
TMUE_3000010984	WBGene00285036
TMUE_3000013160	WBGene00285040
TMUE_3000013158	WBGene00285041
TMUE_3000013157	WBGene00285042
TMUE_3000010981	WBGene00285043
TMUE_3000013155	WBGene00285049
TMUE_3000010979	WBGene00285050
TMUE_3000013154	WBGene00285053
TMUE_3000010978	WBGene00285054
TMUE_3000013153	WBGene00285056
TMUE_3000013152	WBGene00285057
TMUE_3000010976	WBGene00285058
TMUE_3000010975	WBGene00285059
