Gene name	Brugia malayi (PRJNA10729) [WS285] protein stable ID	Homology type
TMUE_3000011056	Bm12793.1	ortholog_one2one
TMUE_3000013236		
TMUE_3000011053		
TMUE_3000011052	Bm6848.1	ortholog_one2one
TMUE_3000011051	Bm7221a.1	ortholog_one2one
TMUE_3000011050	Bm1694a.1	ortholog_one2one
TMUE_3000013234		
TMUE_3000011049	Bm10129.1	ortholog_one2one
TMUE_3000011048	Bm10313.1	ortholog_many2many
TMUE_3000011048	Bm10162.1	ortholog_many2many
TMUE_3000011046		
TMUE_3000013233	Bm18034.1	ortholog_many2many
TMUE_3000013233	Bm4331.1	ortholog_many2many
TMUE_3000013232		
TMUE_3000011045	Bm7019b.1	ortholog_many2many
TMUE_3000011045	Bm4356.1	ortholog_many2many
TMUE_3000013231		
TMUE_3000013230		
TMUE_3000011044		
TMUE_3000013229	Bm1955.1	ortholog_one2one
TMUE_3000013227		
TMUE_3000011042		
TMUE_3000011041	Bm5769a.1	ortholog_one2one
TMUE_3000011040		
TMUE_3000013226	Bm6110.1	ortholog_one2one
TMUE_3000011039	Bm3721.1	ortholog_one2one
TMUE_3000011038		
TMUE_3000013225		
TMUE_3000013224		
TMUE_3000013223		
TMUE_3000011037		
TMUE_3000013222		
TMUE_3000011036	Bm5888.1	ortholog_one2one
TMUE_3000013221	Bm5563.1	ortholog_one2one
TMUE_3000013220	Bm3412.1	ortholog_one2one
TMUE_3000013219	Bm7497a.1	ortholog_one2one
TMUE_3000011035		
TMUE_3000013218		
TMUE_3000013217		
TMUE_3000011034		
TMUE_3000013216		
TMUE_3000011032	Bm2057.1	ortholog_one2one
TMUE_3000013215	Bm9508a.1	ortholog_one2one
TMUE_3000011031	Bm2876d.1	ortholog_one2one
TMUE_3000013214	Bm8324c.1	ortholog_one2one
TMUE_3000013212		
TMUE_3000011029		
TMUE_3000011028		
TMUE_3000013211	Bm3373.1	ortholog_one2one
TMUE_3000013210		
TMUE_3000011027		
TMUE_3000013209		
TMUE_3000013208	Bm5667.1	ortholog_one2one
TMUE_3000013207		
TMUE_3000011026	Bm2368a.1	ortholog_one2one
TMUE_3000011025		
TMUE_3000011023	Bm7542.1	ortholog_one2one
TMUE_3000013205		
TMUE_3000011022	Bm1893a.1	ortholog_one2one
TMUE_3000013204		
TMUE_3000011021	Bm2814.1	ortholog_one2one
TMUE_3000013203	Bm3751a.1	ortholog_one2one
TMUE_3000013202	Bm7849a.1	ortholog_one2one
TMUE_3000011019		
TMUE_3000013201		
TMUE_3000013200	Bm5634.1	ortholog_one2one
TMUE_3000011018		
TMUE_3000011017		
TMUE_3000013199		
TMUE_3000011015		
TMUE_3000013198	Bm3832.1	ortholog_one2many
TMUE_3000013198	Bm6587.1	ortholog_one2many
TMUE_3000013198	Bm4157b.1	ortholog_one2many
TMUE_3000013198	Bm2645a.1	ortholog_one2many
TMUE_3000013198	Bm3228a.1	ortholog_one2many
TMUE_3000013197	Bm13670a.1	ortholog_one2one
TMUE_3000011014		
TMUE_3000013196	Bm14074.1	ortholog_one2one
TMUE_3000013195	Bm4333a.1	ortholog_one2one
TMUE_3000013193	Bm6515.1	ortholog_one2one
TMUE_3000011011	Bm7227a.1	ortholog_one2one
TMUE_3000013192	Bm6747b.1	ortholog_one2one
TMUE_3000011010	Bm7551.1	ortholog_one2one
