Gene name	Caenorhabditis elegans (PRJNA13758) [WS285] gene stable ID	Homology type
TMUE_3000011056	WBGene00001190	ortholog_one2one
TMUE_3000013236	WBGene00019493	ortholog_many2many
TMUE_3000013236	WBGene00022010	ortholog_many2many
TMUE_3000011053		
TMUE_3000011052	WBGene00013224	ortholog_one2one
TMUE_3000011051	WBGene00022423	ortholog_one2one
TMUE_3000011050	WBGene00007111	ortholog_one2one
TMUE_3000013234		
TMUE_3000011049		
TMUE_3000011048		
TMUE_3000011046	WBGene00009508	ortholog_many2many
TMUE_3000013233	WBGene00013866	ortholog_many2many
TMUE_3000013233	WBGene00018783	ortholog_many2many
TMUE_3000013232		
TMUE_3000011045	WBGene00013325	ortholog_many2many
TMUE_3000011045	WBGene00022101	ortholog_many2many
TMUE_3000011045	WBGene00019509	ortholog_many2many
TMUE_3000011045	WBGene00010046	ortholog_many2many
TMUE_3000011045	WBGene00044674	ortholog_many2many
TMUE_3000013231		
TMUE_3000013230		
TMUE_3000011044		
TMUE_3000013229	WBGene00001001	ortholog_one2one
TMUE_3000013227		
TMUE_3000011042		
TMUE_3000011041	WBGene00004031	ortholog_one2one
TMUE_3000011040		
TMUE_3000013226	WBGene00002275	ortholog_one2one
TMUE_3000011039	WBGene00009288	ortholog_one2one
TMUE_3000011038		
TMUE_3000013225		
TMUE_3000013224		
TMUE_3000013223		
TMUE_3000011037		
TMUE_3000013222		
TMUE_3000011036	WBGene00011897	ortholog_one2one
TMUE_3000013221	WBGene00011451	ortholog_one2one
TMUE_3000013220	WBGene00017534	ortholog_one2one
TMUE_3000013219	WBGene00013998	ortholog_one2one
TMUE_3000011035		
TMUE_3000013218	WBGene00009218	ortholog_one2one
TMUE_3000013217		
TMUE_3000011034		
TMUE_3000013216		
TMUE_3000011032	WBGene00015581	ortholog_one2one
TMUE_3000013215		
TMUE_3000011031	WBGene00008236	ortholog_one2one
TMUE_3000013214	WBGene00000520	ortholog_one2one
TMUE_3000013212		
TMUE_3000011029		
TMUE_3000011028		
TMUE_3000013211	WBGene00003411	ortholog_one2one
TMUE_3000013210		
TMUE_3000011027		
TMUE_3000013209		
TMUE_3000013208	WBGene00004229	ortholog_one2one
TMUE_3000013207		
TMUE_3000011026	WBGene00003155	ortholog_one2one
TMUE_3000011025		
TMUE_3000011023	WBGene00002078	ortholog_one2one
TMUE_3000013205		
TMUE_3000011022	WBGene00006808	ortholog_one2one
TMUE_3000013204		
TMUE_3000011021	WBGene00008143	ortholog_one2one
TMUE_3000013203	WBGene00009314	ortholog_one2one
TMUE_3000013202		
TMUE_3000011019		
TMUE_3000013201		
TMUE_3000013200	WBGene00044789	ortholog_one2one
TMUE_3000011018		
TMUE_3000011017		
TMUE_3000013199		
TMUE_3000011015		
TMUE_3000013198	WBGene00018906	ortholog_one2many
TMUE_3000013198	WBGene00008952	ortholog_one2many
TMUE_3000013198	WBGene00077697	ortholog_one2many
TMUE_3000013198	WBGene00018041	ortholog_one2many
TMUE_3000013198	WBGene00012917	ortholog_one2many
TMUE_3000013198	WBGene00018510	ortholog_one2many
TMUE_3000013198	WBGene00016499	ortholog_one2many
TMUE_3000013198	WBGene00008624	ortholog_one2many
TMUE_3000013197	WBGene00003950	ortholog_one2one
TMUE_3000011014		
TMUE_3000013196	WBGene00012179	ortholog_one2many
TMUE_3000013196	WBGene00004451	ortholog_one2many
TMUE_3000013195	WBGene00018786	ortholog_one2one
TMUE_3000013193	WBGene00021510	ortholog_one2one
TMUE_3000011011	WBGene00002175	ortholog_one2one
TMUE_3000013192	WBGene00006938	ortholog_one2many
TMUE_3000013192	WBGene00006940	ortholog_one2many
TMUE_3000011010	WBGene00014081	ortholog_one2one
TMUE_3000011009		
TMUE_3000013191		
TMUE_3000013190		
TMUE_3000011007	WBGene00001635	ortholog_one2one
TMUE_3000011006	WBGene00001860	ortholog_one2many
TMUE_3000011005	WBGene00015554	ortholog_one2one
TMUE_3000013189		
TMUE_3000011004		
TMUE_3000013187	WBGene00004424	ortholog_one2one
TMUE_3000013186	WBGene00006394	ortholog_one2many
TMUE_3000013186	WBGene00006393	ortholog_one2many
TMUE_3000013185		
TMUE_3000013181	WBGene00045063	ortholog_one2one
TMUE_3000011002	WBGene00013311	ortholog_one2many
TMUE_3000011001		
TMUE_3000013179		
TMUE_3000011000	WBGene00004049	ortholog_one2one
TMUE_3000013178	WBGene00007617	ortholog_one2one
TMUE_3000010998	WBGene00019465	ortholog_one2one
TMUE_3000010997	WBGene00010631	ortholog_one2one
TMUE_3000010996	WBGene00009290	ortholog_one2one
TMUE_3000013176		
TMUE_3000013175		
TMUE_3000013174		
TMUE_3000013172		
TMUE_3000013170	WBGene00009011	ortholog_one2one
TMUE_3000010995	WBGene00008362	ortholog_one2one
TMUE_3000013169	WBGene00018356	ortholog_one2one
TMUE_3000013166	WBGene00022727	ortholog_one2one
TMUE_3000010991		
TMUE_3000010990	WBGene00008548	ortholog_one2one
TMUE_3000010989	WBGene00019205	ortholog_one2one
TMUE_3000013165		
TMUE_3000010988		
TMUE_3000013164		
TMUE_3000010987	WBGene00019893	ortholog_many2many
