4.1.1.50	TMUE_1000003104
2.3.2.23	TMUE_2000009573,TMUE_3000011567,TMUE_1000005755,TMUE_2000009923,TMUE_2000009914,TMUE_3000013014,TMUE_3000011925,TMUE_0000001238,TMUE_3000014785,TMUE_2000009414,TMUE_2000008197,TMUE_3000014441,TMUE_2000009925,TMUE_2000006866,TMUE_1000003406,TMUE_2000006745,TMUE_1000003384,TMUE_0000000518
2.1.1.357	TMUE_1000004034,TMUE_2000008148,TMUE_0000001804,TMUE_3000012732,TMUE_3000014048,TMUE_1000005226,TMUE_2000008428,TMUE_2000008774,TMUE_2000009073,TMUE_2000007521,TMUE_2000007040,TMUE_0000001517,TMUE_0000001129,TMUE_2000008886,TMUE_1000005614,TMUE_1000004530,TMUE_1000002675,TMUE_2000010437,TMUE_2000009597,TMUE_3000011291,TMUE_2000006503,TMUE_1000003698,TMUE_2000008298,TMUE_2000009911,TMUE_0000002346,TMUE_2000010173,TMUE_3000013341,TMUE_3000014954,TMUE_0000002262,TMUE_2000006826,TMUE_0000001492,TMUE_1000005569,TMUE_3000014553,TMUE_0000001080,TMUE_3000014353,TMUE_0000000967,TMUE_0000001470,TMUE_0000001961,TMUE_1000005073,TMUE_1000002616,TMUE_0000002397,TMUE_0000001030,TMUE_0000001635,TMUE_1000004227,TMUE_2000007843,TMUE_0000001469,TMUE_2000006808,TMUE_1000002849,TMUE_1000004798,TMUE_2000010336,TMUE_3000011713,TMUE_0000001259,TMUE_3000013916,TMUE_2000007983,TMUE_1000005261,TMUE_0000001344,TMUE_0000002157,TMUE_2000008949,TMUE_0000001810,TMUE_1000003327,TMUE_1000002670,TMUE_1000003014,TMUE_3000014155,TMUE_3000012683,TMUE_2000009672,TMUE_3000014960,TMUE_2000010185,TMUE_2000007358,TMUE_1000003355,TMUE_3000010763,TMUE_3000013047,TMUE_0000002422
3.6.4.13	TMUE_3000014676,TMUE_2000009434,TMUE_3000013889,TMUE_2000008079,TMUE_2000006738,TMUE_1000004792,TMUE_3000013247,TMUE_2000007640,TMUE_2000007119,TMUE_3000013198,TMUE_3000013485,TMUE_0000000107,TMUE_2000010577,TMUE_2000010394,TMUE_0000000039,TMUE_1000004803,TMUE_2000008897,TMUE_2000009079,TMUE_2000007042,TMUE_3000012081,TMUE_3000011497,TMUE_1000005185,TMUE_2000008661,TMUE_1000005547,TMUE_3000013419,TMUE_2000008226,TMUE_0000001921,TMUE_3000010908,TMUE_1000004111,TMUE_2000008418,TMUE_2000010121,TMUE_2000008919,TMUE_2000010059,TMUE_2000009647,TMUE_3000012531,TMUE_3000013948,TMUE_2000008349,TMUE_3000011096,TMUE_3000013338,TMUE_2000009780,TMUE_3000013960,TMUE_2000008414,TMUE_1000005391
2.7.1.147	TMUE_1000003062
3.1.4.12	TMUE_2000006261,TMUE_2000008065
2.6.1.42	TMUE_2000009182
3.2.1.106	TMUE_2000008660
2.3.1.225	TMUE_2000008556,TMUE_1000003235,TMUE_1000003100,TMUE_2000007461,TMUE_2000010395,TMUE_0000001671,TMUE_3000014585,TMUE_3000013360,TMUE_1000004654,TMUE_1000002865,TMUE_3000013443
3.6.4.12	TMUE_3000013869,TMUE_1000005817,TMUE_2000009802,TMUE_3000013651,TMUE_2000009818,TMUE_2000009175,TMUE_3000010812,TMUE_3000011405,TMUE_3000014239,TMUE_3000010963,TMUE_2000010075,TMUE_2000007986,TMUE_2000009979,TMUE_3000012605,TMUE_3000011026,TMUE_0000001073,TMUE_2000007572,TMUE_2000009929,TMUE_2000006230,TMUE_2000006308,TMUE_1000003521,TMUE_1000002823,TMUE_0000001106,TMUE_0000001673,TMUE_3000012973,TMUE_0000002150,TMUE_3000013850,TMUE_2000006615,TMUE_3000014238,TMUE_2000007529,TMUE_3000010931,TMUE_0000001104,TMUE_0000000124,TMUE_0000000731,TMUE_0000002293,TMUE_3000011835,TMUE_2000010701
1.3.8.9	TMUE_0000001764,TMUE_1000005908
6.1.1.20	TMUE_3000014402,TMUE_3000010840,TMUE_1000003448
1.8.3.2	TMUE_2000008416,TMUE_3000014403,TMUE_3000014400,TMUE_0000002368,TMUE_3000014399
3.6.1.15	TMUE_2000007008,TMUE_0000001901
2.7.3.3	TMUE_2000007562,TMUE_1000002923
1.2.1.24	TMUE_0000000186,TMUE_3000012793
3.1.3.16	TMUE_2000009629,TMUE_3000012509,TMUE_2000008964,TMUE_3000013591,TMUE_2000009721,TMUE_1000005122,TMUE_3000013615,TMUE_2000009873,TMUE_3000014297,TMUE_2000009756,TMUE_2000009217,TMUE_3000014292,TMUE_2000009595,TMUE_2000010620,TMUE_2000006334,TMUE_1000005909,TMUE_3000013490,TMUE_0000002226,TMUE_2000010192,TMUE_2000007271,TMUE_3000014539,TMUE_1000005811,TMUE_1000003388,TMUE_0000000479,TMUE_2000009870,TMUE_2000008225,TMUE_2000006685,TMUE_3000014251,TMUE_1000004400
2.5.1.91	TMUE_2000010649,TMUE_2000008634
2.7.1.165	TMUE_3000013243
3.1.3.48	TMUE_3000010872,TMUE_3000014257,TMUE_1000003771,TMUE_2000010561,TMUE_3000011760,TMUE_3000010892,TMUE_3000013668,TMUE_1000005701,TMUE_1000004978,TMUE_1000004233,TMUE_1000005769,TMUE_3000011192,TMUE_3000012491,TMUE_2000008640,TMUE_1000004977,TMUE_1000005675,TMUE_0000001968,TMUE_3000012133,TMUE_1000005698,TMUE_3000011759,TMUE_3000011289
